ID,SKU,Nombre,Publicado,"Visibilidad en el catálogo",Categorías,Imágenes
657,AR-TE-SILVESTRE-500,"Aroma Té Silvestre - 500 mL",1,visible,,
658,AR-TE-SILVESTRE-1L,"Aroma Té Silvestre - 1 L",1,visible,,
659,AR-TROPICAL-FRUITS-150,"Aroma Tropical Fruits - 150 mL",1,visible,,
660,AR-TROPICAL-FRUITS-250,"Aroma Tropical Fruits - 250 mL",1,visible,,
661,AR-TROPICAL-FRUITS-500,"Aroma Tropical Fruits - 500 mL",1,visible,,
662,AR-TROPICAL-FRUITS-1L,"Aroma Tropical Fruits - 1 L",1,visible,,
663,AR-URBAN-FIT-150,"Aroma Urban Fit - 150 mL",1,visible,,
664,AR-URBAN-FIT-250,"Aroma Urban Fit - 250 mL",1,visible,,
665,AR-URBAN-FIT-500,"Aroma Urban Fit - 500 mL",1,visible,,
666,AR-URBAN-FIT-1L,"Aroma Urban Fit - 1 L",1,visible,,
667,AR-VAINILLA-GLOW-150,"Aroma Vainilla Glow - 150 mL",1,visible,,
668,AR-VAINILLA-GLOW-250,"Aroma Vainilla Glow - 250 mL",1,visible,,
669,AR-VAINILLA-GLOW-500,"Aroma Vainilla Glow - 500 mL",1,visible,,
670,AR-VAINILLA-GLOW-1L,"Aroma Vainilla Glow - 1 L",1,visible,,
671,AR-WHITE-TEA,"Aroma White Tea",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/white-tea.png
672,AR-WILD-ADVENTURE,"Aroma Wild Adventure",0,visible,Aromas,
673,AR-CORAL,"Aroma Coral",0,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/coral.png
674,AR-DULCE-BOUQUET,"Aroma Dulce Bouquet",0,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/dulce-bouquet.png
675,AR-FRESCURA-ORIENTAL,"Aroma Frescura Oriental",0,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/frescura-oriental.png
676,AR-HERBAL-PARADISE,"Aroma Herbal Paradise",0,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/herbal-paradise.png
677,AR-WHITE-TEA-150,"Aroma White Tea - 150 mL",1,visible,,
678,AR-WHITE-TEA-250,"Aroma White Tea - 250 mL",1,visible,,
679,AR-WHITE-TEA-500,"Aroma White Tea - 500 mL",1,visible,,
680,AR-WHITE-TEA-1L,"Aroma White Tea - 1 L",1,visible,,
681,AR-WILD-ADVENTURE-150,"Aroma Wild Adventure - 150 mL",0,visible,,
682,AR-WILD-ADVENTURE-250,"Aroma Wild Adventure - 250 mL",0,visible,,
683,AR-WILD-ADVENTURE-500,"Aroma Wild Adventure - 500 mL",0,visible,,
684,AR-WILD-ADVENTURE-1L,"Aroma Wild Adventure - 1 L",0,visible,,
685,AR-CORAL-150,"Aroma Coral - 150 mL",0,visible,,
686,AR-CORAL-250,"Aroma Coral - 250 mL",0,visible,,
687,AR-CORAL-500,"Aroma Coral - 500 mL",0,visible,,
688,AR-CORAL-1L,"Aroma Coral - 1 L",0,visible,,
689,AR-DULCE-BOUQUET-150,"Aroma Dulce Bouquet - 150 mL",0,visible,,
690,AR-DULCE-BOUQUET-250,"Aroma Dulce Bouquet - 250 mL",0,visible,,
691,AR-DULCE-BOUQUET-500,"Aroma Dulce Bouquet - 500 mL",0,visible,,
692,AR-DULCE-BOUQUET-1L,"Aroma Dulce Bouquet - 1 L",0,visible,,
693,AR-FRESCURA-ORIENTAL-150,"Aroma Frescura Oriental - 150 mL",0,visible,,
694,AR-FRESCURA-ORIENTAL-250,"Aroma Frescura Oriental - 250 mL",0,visible,,
695,AR-FRESCURA-ORIENTAL-500,"Aroma Frescura Oriental - 500 mL",0,visible,,
696,AR-FRESCURA-ORIENTAL-1L,"Aroma Frescura Oriental - 1 L",0,visible,,
697,AR-HERBAL-PARADISE-150,"Aroma Herbal Paradise - 150 mL",0,visible,,
698,AR-HERBAL-PARADISE-250,"Aroma Herbal Paradise - 250 mL",0,visible,,
699,AR-HERBAL-PARADISE-500,"Aroma Herbal Paradise - 500 mL",0,visible,,
700,AR-HERBAL-PARADISE-1L,"Aroma Herbal Paradise - 1 L",0,visible,,
701,AR-NICE,"Aroma Nice",0,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/nice.png
702,AR-OTONO,"Aroma Otoño",0,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/otono.png
703,AR-VERSALLES,"Aroma Versalles",0,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/versalles.png
704,AR-NICE-150,"Aroma Nice - 150 mL",0,visible,,
705,AR-NICE-250,"Aroma Nice - 250 mL",0,visible,,
706,AR-NICE-500,"Aroma Nice - 500 mL",0,visible,,
707,AR-NICE-1L,"Aroma Nice - 1 L",0,visible,,
708,AR-OTONO-150,"Aroma Otoño - 150 mL",0,visible,,
709,AR-OTONO-250,"Aroma Otoño - 250 mL",0,visible,,
710,AR-OTONO-500,"Aroma Otoño - 500 mL",0,visible,,
711,AR-OTONO-1L,"Aroma Otoño - 1 L",0,visible,,
712,AR-VERSALLES-150,"Aroma Versalles - 150 mL",0,visible,,
713,AR-VERSALLES-250,"Aroma Versalles - 250 mL",0,visible,,
714,AR-VERSALLES-500,"Aroma Versalles - 500 mL",0,visible,,
715,AR-VERSALLES-1L,"Aroma Versalles - 1 L",0,visible,,
