ID,Tipo,SKU,Nombre,Publicado,Visibilidad en el catálogo,Descripción corta,¿Existencias?,Inventario,Estado del impuesto,Precio normal,Categorías,Imágenes,Superior,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo predeterminado 1,Meta: notas_de_salida,Meta: _notas_de_salida,Meta: notas_de_corazon,Meta: _notas_de_corazon,Meta: notas_de_fondo,Meta: _notas_de_fondo
,variation,AR-PEONIA-250,Aroma Peonia 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-PEONIA,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-PEONIA-500,Aroma Peonia 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-PEONIA,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-PEONIA-1L,Aroma Peonia 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-PEONIA,Capacidad,1 L,1,1,,,,,,,
,variable,AR-PINK-GLOW,Aroma Pink Glow,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/pink-glow.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Sandía fresca, lima dulce",field_6a3739f9978a5,"Rosa blanca, jazmín acuático",field_6a373a0b978a6,"Almizcle rosa, acorde afrutado",field_6a373a15978a7
,variation,AR-PINK-GLOW-150,Aroma Pink Glow 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-PINK-GLOW,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-PINK-GLOW-250,Aroma Pink Glow 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-PINK-GLOW,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-PINK-GLOW-500,Aroma Pink Glow 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-PINK-GLOW,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-PINK-GLOW-1L,Aroma Pink Glow 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-PINK-GLOW,Capacidad,1 L,1,1,,,,,,,
,variable,AR-PRIMAVERA,Aroma Primavera,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/primavera.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Fresa, hojas verdes",field_6a3739f9978a5,"Gardenia, violeta",field_6a373a0b978a6,"Madera clara, almizcle",field_6a373a15978a7
,variation,AR-PRIMAVERA-150,Aroma Primavera 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-PRIMAVERA,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-PRIMAVERA-250,Aroma Primavera 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-PRIMAVERA,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-PRIMAVERA-500,Aroma Primavera 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-PRIMAVERA,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-PRIMAVERA-1L,Aroma Primavera 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-PRIMAVERA,Capacidad,1 L,1,1,,,,,,,
,variable,AR-RED-CARPET,Aroma Red Carpet,0,visible,,1,,taxable,,Aromas,,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,Incienso resinoso,field_6a3739f9978a5,"Madera de oud, sándalo",field_6a373a0b978a6,"Patchouli terroso, ámbar",field_6a373a15978a7
,variation,AR-RED-CARPET-150,Aroma Red Carpet 150 ML,0,visible,,1,100,taxable,90.00,Aromas,,AR-RED-CARPET,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-RED-CARPET-250,Aroma Red Carpet 250 ML,0,visible,,1,100,taxable,125.00,Aromas,,AR-RED-CARPET,Capacidad,250 ML,1,1,,,,,,,
