ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto",¿Existencias?,Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,Marcas,"Meta: difusor","Meta: _difusor","Meta: color","Meta: _color","Meta: cobertura","Meta: _cobertura","Meta: control","Meta: _control","Meta: app","Meta: _app","Meta: capacidad","Meta: _capacidad","Meta: cantidad_de_aroma_de_regalo","Meta: _cantidad_de_aroma_de_regalo","Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Meta: notas_de_salida","Meta: _notas_de_salida","Meta: notas_de_corazon","Meta: _notas_de_corazon","Meta: notas_de_fondo","Meta: _notas_de_fondo"
474,variation,AR-BLOSSOM-1L,,"Aroma Blossom - 1 L",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,439.00,,,,,,,AR-BLOSSOM,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"1 L",,1,,,,,,
475,variation,AR-CANELITA-150,,"Aroma Canelita - 150 mL",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,90.00,,,,,,,AR-CANELITA,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"150 mL",,1,,,,,,
476,variation,AR-CANELITA-250,,"Aroma Canelita - 250 mL",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,125.00,,,,,,,AR-CANELITA,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"250 mL",,1,,,,,,
477,variation,AR-CANELITA-500,,"Aroma Canelita - 500 mL",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,229.00,,,,,,,AR-CANELITA,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"500 mL",,1,,,,,,
478,variation,AR-CANELITA-1L,,"Aroma Canelita - 1 L",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,439.00,,,,,,,AR-CANELITA,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"1 L",,1,,,,,,
479,variation,AR-CARMESI-150,,"Aroma Carmesí - 150 mL",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,90.00,,,,,,,AR-CARMESI,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"150 mL",,1,,,,,,
480,variation,AR-CARMESI-250,,"Aroma Carmesí - 250 mL",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,125.00,,,,,,,AR-CARMESI,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"250 mL",,1,,,,,,
481,variation,AR-CARMESI-500,,"Aroma Carmesí - 500 mL",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,229.00,,,,,,,AR-CARMESI,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"500 mL",,1,,,,,,
482,variation,AR-CARMESI-1L,,"Aroma Carmesí - 1 L",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,439.00,,,,,,,AR-CARMESI,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"1 L",,1,,,,,,
483,variation,AR-CITRUS-BLOOM-150,,"Aroma Citrus Bloom - 150 mL",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,90.00,,,,,,,AR-CITRUS-BLOOM,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"150 mL",,1,,,,,,
